status,order,personid,starter,oncourt,played,statistics_assists,statistics_blocks,statistics_blocksreceived,statistics_fieldgoalsattempted,statistics_fieldgoalsmade,statistics_foulsoffensive,statistics_foulsdrawn,statistics_foulspersonal,statistics_foulstechnical,statistics_freethrowsattempted,statistics_freethrowsmade,statistics_minus,statistics_minutes,statistics_minutescalculated,statistics_plus,statistics_plusminuspoints,statistics_points,statistics_pointsfastbreak,statistics_pointsinthepaint,statistics_pointssecondchance,statistics_reboundsdefensive,statistics_reboundsoffensive,statistics_reboundstotal,statistics_steals,statistics_threepointersattempted,statistics_threepointersmade,statistics_turnovers,statistics_twopointersattempted,statistics_twopointersmade,game_id
ACTIVE,11,1629004,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PT00M38.09S,PT01M,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0042300405
ACTIVE,12,1629674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,13,1630531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,14,1630214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,15,1641775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,1,1627884,1,0,1,0,1,0,8,4,0,2,0,0,2,1,47,PT22M20.00S,PT22M,39,-8,10,2,6,2,0,0,0,0,4,1,0,4,3,0042300405
ACTIVE,2,1629023,1,0,1,3,2,0,7,2,0,0,3,0,0,0,79,PT34M29.00S,PT34M,53,-26,4,2,4,0,6,0,6,0,5,0,4,2,2,0042300405
ACTIVE,3,1629655,1,0,1,0,0,0,5,3,0,1,1,0,0,0,21,PT10M54.00S,PT11M,14,-7,6,0,6,2,1,2,3,0,0,0,0,5,3,0042300405
ACTIVE,4,202681,1,0,1,9,0,1,16,5,0,2,2,0,2,2,92,PT41M07.00S,PT41M,81,-11,15,0,2,0,2,1,3,1,9,3,1,7,2,0042300405
ACTIVE,5,1629029,1,0,1,5,0,0,25,12,0,6,3,0,5,2,100,PT43M23.00S,PT43M,81,-19,28,2,18,0,12,0,12,3,9,2,7,16,10,0042300405
ACTIVE,6,1641726,0,0,1,0,1,1,2,1,1,1,5,0,0,0,62,PT24M05.00S,PT24M,56,-6,2,0,2,0,2,2,4,0,0,0,1,2,1,0042300405
ACTIVE,7,1630182,0,0,1,0,0,0,8,5,0,0,1,0,0,0,56,PT22M22.00S,PT22M,48,-8,14,3,2,2,1,1,2,0,6,4,0,2,1,0042300405
ACTIVE,8,1628467,0,0,1,1,0,0,3,1,0,0,2,0,0,0,36,PT13M26.00S,PT13M,24,-12,2,0,2,0,2,1,3,0,2,0,0,1,1,0042300405
ACTIVE,9,203957,0,1,1,0,0,0,1,1,0,1,0,0,2,1,17,PT08M49.00S,PT09M,11,-6,4,0,0,0,0,0,0,0,1,1,0,0,0,0042300405
ACTIVE,10,203501,0,0,1,0,0,0,1,0,0,0,3,0,0,0,20,PT08M37.00S,PT09M,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0042300405
ACTIVE,11,1630702,0,1,1,0,0,0,2,1,0,1,0,0,2,1,0,PT02M37.00S,PT03M,3,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0042300405
ACTIVE,12,203939,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PT02M37.00S,PT03M,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0042300405
ACTIVE,13,1630639,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PT02M37.00S,PT03M,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,14,1641765,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,PT02M37.00S,PT03M,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0042300405
ACTIVE,15,202693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,1,1627759,1,0,1,6,0,3,23,7,1,6,4,0,6,5,83,PT44M15.00S,PT44M,103,20,21,8,8,0,8,0,8,2,9,2,1,14,5,0042300405
ACTIVE,2,1628369,1,0,1,11,0,1,24,11,0,6,2,0,8,8,86,PT44M57.00S,PT45M,104,18,31,6,18,6,7,1,8,2,7,1,2,17,10,0042300405
ACTIVE,3,201143,1,0,1,2,0,0,6,3,0,1,3,0,2,1,51,PT31M35.00S,PT32M,71,20,9,0,2,0,7,2,9,2,3,2,0,3,1,0042300405
ACTIVE,4,1628401,1,0,1,1,1,0,10,4,0,2,0,0,2,2,77,PT38M08.91S,PT38M,78,1,14,0,0,3,4,4,8,2,8,4,2,2,0,0042300405
ACTIVE,5,201950,1,0,1,4,1,0,14,7,0,0,3,0,0,0,81,PT43M08.91S,PT43M,102,21,15,2,10,2,7,4,11,0,3,1,2,11,6,0042300405
ACTIVE,6,204001,0,0,1,0,0,0,4,2,0,5,2,0,2,1,32,PT16M05.00S,PT16M,40,8,5,0,4,0,1,0,1,0,2,0,0,2,2,0042300405
ACTIVE,7,1630573,0,1,1,1,0,0,7,3,0,0,1,0,0,0,26,PT17M07.00S,PT17M,29,3,8,0,0,0,1,3,4,1,6,2,0,1,1,0042300405
ACTIVE,8,1630202,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,PT01M25.00S,PT01M,3,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0042300405
ACTIVE,9,1628436,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,PT02M02.00S,PT02M,0,-2,0,0,0,0,0,1,1,0,0,0,0,0,0,0042300405
ACTIVE,10,1629052,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PT00M38.09S,PT01M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,11,1629004,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PT00M38.09S,PT01M,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0042300405
ACTIVE,12,1629674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,13,1630531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,14,1630214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,15,1641775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,1,1627884,1,0,1,0,1,0,8,4,0,2,0,0,2,1,47,PT22M20.00S,PT22M,39,-8,10,2,6,2,0,0,0,0,4,1,0,4,3,0042300405
ACTIVE,2,1629023,1,0,1,3,2,0,7,2,0,0,3,0,0,0,79,PT34M29.00S,PT34M,53,-26,4,2,4,0,6,0,6,0,5,0,4,2,2,0042300405
ACTIVE,3,1629655,1,0,1,0,0,0,5,3,0,1,1,0,0,0,21,PT10M54.00S,PT11M,14,-7,6,0,6,2,1,2,3,0,0,0,0,5,3,0042300405
ACTIVE,4,202681,1,0,1,9,0,1,16,5,0,2,2,0,2,2,92,PT41M07.00S,PT41M,81,-11,15,0,2,0,2,1,3,1,9,3,1,7,2,0042300405
ACTIVE,5,1629029,1,0,1,5,0,0,25,12,0,6,3,0,5,2,100,PT43M23.00S,PT43M,81,-19,28,2,18,0,12,0,12,3,9,2,7,16,10,0042300405
ACTIVE,6,1641726,0,0,1,0,1,1,2,1,1,1,5,0,0,0,62,PT24M05.00S,PT24M,56,-6,2,0,2,0,2,2,4,0,0,0,1,2,1,0042300405
ACTIVE,7,1630182,0,0,1,0,0,0,8,5,0,0,1,0,0,0,56,PT22M22.00S,PT22M,48,-8,14,3,2,2,1,1,2,0,6,4,0,2,1,0042300405
ACTIVE,8,1628467,0,0,1,1,0,0,3,1,0,0,2,0,0,0,36,PT13M26.00S,PT13M,24,-12,2,0,2,0,2,1,3,0,2,0,0,1,1,0042300405
ACTIVE,9,203957,0,1,1,0,0,0,1,1,0,1,0,0,2,1,17,PT08M49.00S,PT09M,11,-6,4,0,0,0,0,0,0,0,1,1,0,0,0,0042300405
ACTIVE,10,203501,0,0,1,0,0,0,1,0,0,0,3,0,0,0,20,PT08M37.00S,PT09M,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0042300405
ACTIVE,11,1630702,0,1,1,0,0,0,2,1,0,1,0,0,2,1,0,PT02M37.00S,PT03M,3,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0042300405
ACTIVE,12,203939,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PT02M37.00S,PT03M,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0042300405
ACTIVE,13,1630639,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PT02M37.00S,PT03M,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,14,1641765,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,PT02M37.00S,PT03M,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0042300405
ACTIVE,15,202693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
ACTIVE,1,1627884,1,0,1,0,1,0,4,2,0,0,3,0,0,0,31,PT16M44.06S,PT17M,47,16,5,0,2,0,2,0,2,0,2,1,0,2,1,0042300404
ACTIVE,2,1629023,1,0,1,0,0,0,4,2,0,0,4,0,0,0,26,PT13M45.00S,PT14M,37,11,6,3,0,0,2,0,2,0,3,2,2,1,0,0042300404
ACTIVE,3,1629655,1,0,1,0,1,0,2,1,0,4,1,0,6,5,17,PT09M53.00S,PT10M,29,12,7,4,2,1,3,1,4,0,0,0,1,2,1,0042300404
ACTIVE,4,202681,1,0,1,6,0,2,18,10,0,2,1,0,0,0,56,PT30M40.91S,PT31M,84,28,21,0,18,4,3,1,4,0,6,1,1,12,9,0042300404
ACTIVE,5,1629029,1,0,1,5,0,0,26,12,0,5,3,0,7,5,54,PT32M32.94S,PT33M,84,30,29,0,22,2,5,0,5,3,8,0,1,18,12,0042300404
ACTIVE,6,1641726,0,0,1,0,0,0,5,4,0,3,0,0,4,2,35,PT22M20.09S,PT22M,55,20,11,0,6,2,5,7,12,1,1,1,0,4,3,0042300404
ACTIVE,7,1630182,0,0,1,1,0,1,2,1,0,1,0,0,3,1,28,PT18M15.00S,PT18M,44,16,3,0,2,2,3,2,5,1,0,0,0,2,1,0042300404
ACTIVE,8,1628467,0,0,1,1,0,0,2,1,0,3,0,0,2,2,37,PT23M13.00S,PT23M,62,25,5,0,0,0,1,0,1,1,1,1,0,1,0,0042300404
ACTIVE,9,203957,0,0,1,0,0,0,7,4,0,0,1,0,0,0,17,PT13M37.00S,PT14M,32,15,10,0,4,2,2,0,2,1,4,2,1,3,2,0042300404
ACTIVE,10,1630702,0,1,1,4,0,1,5,2,0,0,2,0,0,0,27,PT13M29.00S,PT13M,30,3,5,2,2,0,2,1,3,0,2,1,0,3,1,0042300404
ACTIVE,11,203939,0,0,1,2,0,0,0,0,1,0,1,0,0,0,13,PT08M04.00S,PT08M,23,10,0,0,0,0,2,1,3,0,0,0,1,0,0,0042300404
ACTIVE,12,203501,0,1,1,1,0,0,7,5,0,1,0,0,0,0,24,PT12M00.00S,PT12M,30,6,15,0,0,0,3,0,3,0,7,5,0,0,0,0042300404
ACTIVE,13,202693,0,1,1,0,0,0,5,1,0,0,1,0,0,0,24,PT12M00.00S,PT12M,30,6,3,0,0,3,4,0,4,0,3,1,1,2,0,0042300404
ACTIVE,14,1630639,0,1,1,0,0,0,2,1,0,0,0,0,0,0,17,PT08M01.00S,PT08M,16,-1,2,2,2,0,0,0,0,0,0,0,0,2,1,0042300404
ACTIVE,15,1641765,0,1,1,1,0,1,2,0,0,0,0,0,0,0,14,PT05M25.00S,PT05M,7,-7,0,0,0,0,2,0,2,0,0,0,0,2,0,0042300404
ACTIVE,1,1627759,1,0,1,2,0,1,12,3,1,3,3,0,4,3,72,PT27M18.91S,PT27M,44,-28,10,2,4,0,1,0,1,0,5,1,2,7,2,0042300404
ACTIVE,2,1628369,1,0,1,3,2,1,10,4,1,4,4,0,6,6,73,PT27M04.00S,PT27M,40,-33,15,0,6,0,5,0,5,1,4,1,3,6,3,0042300404
ACTIVE,3,201143,1,0,1,4,0,0,1,1,0,0,3,0,0,0,58,PT23M29.00S,PT24M,40,-18,3,0,0,0,2,1,3,1,1,1,1,0,0,0042300404
ACTIVE,4,1628401,1,0,1,1,0,0,8,2,0,4,2,0,0,0,81,PT30M43.00S,PT31M,52,-29,6,0,0,0,4,0,4,0,8,2,0,0,0,0042300404
ACTIVE,5,201950,1,0,1,2,1,0,10,4,0,0,1,0,0,0,85,PT28M33.00S,PT29M,47,-38,10,0,4,0,3,0,3,0,4,2,5,6,2,0042300404
ACTIVE,6,1630214,0,0,1,1,0,0,2,1,0,2,1,0,1,1,22,PT07M26.00S,PT07M,9,-13,3,0,2,0,0,1,1,0,0,0,0,2,1,0042300404
ACTIVE,7,1630573,0,0,1,0,0,0,7,5,0,1,2,0,0,0,54,PT19M52.00S,PT20M,34,-20,14,0,0,0,3,1,4,0,6,4,0,1,1,0042300404
ACTIVE,8,1630202,0,1,1,3,0,0,14,5,0,0,2,0,0,0,47,PT21M39.09S,PT22M,41,-6,11,2,6,0,3,0,3,0,6,1,2,8,4,0042300404
ACTIVE,9,1629052,0,1,1,0,1,0,4,2,0,1,0,0,2,2,34,PT15M18.00S,PT15M,32,-2,7,2,2,2,2,1,3,0,1,1,0,3,1,0042300404
ACTIVE,10,1628436,0,0,1,2,0,0,1,0,0,0,1,0,0,0,27,PT09M53.00S,PT10M,18,-9,0,0,0,0,0,0,0,0,0,0,0,1,0,0042300404
ACTIVE,11,1629004,0,0,1,0,0,0,7,1,0,0,0,0,0,0,27,PT09M53.00S,PT10M,18,-9,3,0,0,0,1,0,1,0,5,1,0,2,0,0042300404
ACTIVE,12,1630531,0,1,1,0,0,0,1,0,0,1,0,0,0,0,16,PT08M01.00S,PT08M,17,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0042300404
ACTIVE,13,1641775,0,1,1,0,0,0,2,0,0,0,0,0,0,0,7,PT05M25.00S,PT05M,14,7,0,0,0,0,1,0,1,0,1,0,0,1,0,0042300404
ACTIVE,14,1629674,0,1,1,0,1,0,1,1,0,1,0,0,0,0,7,PT05M25.00S,PT05M,14,7,2,0,2,0,0,0,0,0,0,0,0,1,1,0042300404
ACTIVE,15,204001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300404
ACTIVE,1,1627884,1,0,1,0,1,0,4,2,0,0,3,0,0,0,31,PT16M44.06S,PT17M,47,16,5,0,2,0,2,0,2,0,2,1,0,2,1,0042300404
ACTIVE,2,1629023,1,0,1,0,0,0,4,2,0,0,4,0,0,0,26,PT13M45.00S,PT14M,37,11,6,3,0,0,2,0,2,0,3,2,2,1,0,0042300404
ACTIVE,3,1629655,1,0,1,0,1,0,2,1,0,4,1,0,6,5,17,PT09M53.00S,PT10M,29,12,7,4,2,1,3,1,4,0,0,0,1,2,1,0042300404
ACTIVE,4,202681,1,0,1,6,0,2,18,10,0,2,1,0,0,0,56,PT30M40.91S,PT31M,84,28,21,0,18,4,3,1,4,0,6,1,1,12,9,0042300404
ACTIVE,5,1629029,1,0,1,5,0,0,26,12,0,5,3,0,7,5,54,PT32M32.94S,PT33M,84,30,29,0,22,2,5,0,5,3,8,0,1,18,12,0042300404
ACTIVE,6,1641726,0,0,1,0,0,0,5,4,0,3,0,0,4,2,35,PT22M20.09S,PT22M,55,20,11,0,6,2,5,7,12,1,1,1,0,4,3,0042300404
ACTIVE,7,1630182,0,0,1,1,0,1,2,1,0,1,0,0,3,1,28,PT18M15.00S,PT18M,44,16,3,0,2,2,3,2,5,1,0,0,0,2,1,0042300404
ACTIVE,8,1628467,0,0,1,1,0,0,2,1,0,3,0,0,2,2,37,PT23M13.00S,PT23M,62,25,5,0,0,0,1,0,1,1,1,1,0,1,0,0042300404
ACTIVE,9,203957,0,0,1,0,0,0,7,4,0,0,1,0,0,0,17,PT13M37.00S,PT14M,32,15,10,0,4,2,2,0,2,1,4,2,1,3,2,0042300404
ACTIVE,10,1630702,0,1,1,4,0,1,5,2,0,0,2,0,0,0,27,PT13M29.00S,PT13M,30,3,5,2,2,0,2,1,3,0,2,1,0,3,1,0042300404
ACTIVE,11,203939,0,0,1,2,0,0,0,0,1,0,1,0,0,0,13,PT08M04.00S,PT08M,23,10,0,0,0,0,2,1,3,0,0,0,1,0,0,0042300404
ACTIVE,12,203501,0,1,1,1,0,0,7,5,0,1,0,0,0,0,24,PT12M00.00S,PT12M,30,6,15,0,0,0,3,0,3,0,7,5,0,0,0,0042300404
ACTIVE,13,202693,0,1,1,0,0,0,5,1,0,0,1,0,0,0,24,PT12M00.00S,PT12M,30,6,3,0,0,3,4,0,4,0,3,1,1,2,0,0042300404
ACTIVE,14,1630639,0,1,1,0,0,0,2,1,0,0,0,0,0,0,17,PT08M01.00S,PT08M,16,-1,2,2,2,0,0,0,0,0,0,0,0,2,1,0042300404
ACTIVE,15,1641765,0,1,1,1,0,1,2,0,0,0,0,0,0,0,14,PT05M25.00S,PT05M,7,-7,0,0,0,0,2,0,2,0,0,0,0,2,0,0042300404
ACTIVE,1,1627759,1,0,1,2,0,1,12,3,1,3,3,0,4,3,72,PT27M18.91S,PT27M,44,-28,10,2,4,0,1,0,1,0,5,1,2,7,2,0042300404
ACTIVE,2,1628369,1,0,1,3,2,1,10,4,1,4,4,0,6,6,73,PT27M04.00S,PT27M,40,-33,15,0,6,0,5,0,5,1,4,1,3,6,3,0042300404
ACTIVE,3,201143,1,0,1,4,0,0,1,1,0,0,3,0,0,0,58,PT23M29.00S,PT24M,40,-18,3,0,0,0,2,1,3,1,1,1,1,0,0,0042300404
ACTIVE,4,1628401,1,0,1,1,0,0,8,2,0,4,2,0,0,0,81,PT30M43.00S,PT31M,52,-29,6,0,0,0,4,0,4,0,8,2,0,0,0,0042300404
ACTIVE,5,201950,1,0,1,2,1,0,10,4,0,0,1,0,0,0,85,PT28M33.00S,PT29M,47,-38,10,0,4,0,3,0,3,0,4,2,5,6,2,0042300404
ACTIVE,6,1630214,0,0,1,1,0,0,2,1,0,2,1,0,1,1,22,PT07M26.00S,PT07M,9,-13,3,0,2,0,0,1,1,0,0,0,0,2,1,0042300404
ACTIVE,7,1630573,0,0,1,0,0,0,7,5,0,1,2,0,0,0,54,PT19M52.00S,PT20M,34,-20,14,0,0,0,3,1,4,0,6,4,0,1,1,0042300404
ACTIVE,8,1630202,0,1,1,3,0,0,14,5,0,0,2,0,0,0,47,PT21M39.09S,PT22M,41,-6,11,2,6,0,3,0,3,0,6,1,2,8,4,0042300404
ACTIVE,9,1629052,0,1,1,0,1,0,4,2,0,1,0,0,2,2,34,PT15M18.00S,PT15M,32,-2,7,2,2,2,2,1,3,0,1,1,0,3,1,0042300404
ACTIVE,10,1628436,0,0,1,2,0,0,1,0,0,0,1,0,0,0,27,PT09M53.00S,PT10M,18,-9,0,0,0,0,0,0,0,0,0,0,0,1,0,0042300404
ACTIVE,11,1629004,0,0,1,0,0,0,7,1,0,0,0,0,0,0,27,PT09M53.00S,PT10M,18,-9,3,0,0,0,1,0,1,0,5,1,0,2,0,0042300404
ACTIVE,12,1630531,0,1,1,0,0,0,1,0,0,1,0,0,0,0,16,PT08M01.00S,PT08M,17,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0042300404
ACTIVE,13,1641775,0,1,1,0,0,0,2,0,0,0,0,0,0,0,7,PT05M25.00S,PT05M,14,7,0,0,0,0,1,0,1,0,1,0,0,1,0,0042300404
ACTIVE,14,1629674,0,1,1,0,1,0,1,1,0,1,0,0,0,0,7,PT05M25.00S,PT05M,14,7,2,0,2,0,0,0,0,0,0,0,0,1,1,0042300404
ACTIVE,15,204001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300404
ACTIVE,1,1627759,1,1,1,7,0,1,15,8,0,2,3,0,4,4,94,PT42M25.00S,PT43M,91,-3,21,4,14,0,2,2,4,3,5,1,6,10,7,0042300402
ACTIVE,2,1628369,1,1,1,12,0,1,22,6,0,8,2,0,6,5,90,PT45M09.00S,PT45M,96,6,18,0,10,3,8,1,9,1,7,1,3,15,5,0042300402
ACTIVE,3,201143,1,1,1,2,0,0,4,2,0,0,2,0,0,0,60,PT28M06.09S,PT28M,61,1,5,2,2,0,7,0,7,1,3,1,0,1,1,0042300402
ACTIVE,4,1628401,1,1,1,2,2,1,15,6,0,1,2,0,2,2,73,PT38M05.00S,PT38M,81,8,18,2,0,3,3,2,5,3,10,4,1,5,2,0042300402
ACTIVE,5,201950,1,1,1,3,1,0,14,11,0,2,3,0,2,2,80,PT40M41.97S,PT41M,86,6,26,7,18,2,7,4,11,1,4,2,0,10,9,0042300402
ACTIVE,6,204001,0,0,1,1,2,0,7,4,0,3,2,0,4,4,44,PT23M13.91S,PT23M,56,12,12,0,2,2,4,0,4,0,3,0,0,4,4,0042300402
ACTIVE,7,1630573,0,0,1,0,0,0,5,0,0,1,1,0,2,2,26,PT10M18.00S,PT10M,27,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0042300402
ACTIVE,8,1630202,0,0,1,2,0,0,2,1,0,0,0,0,0,0,23,PT12M01.03S,PT12M,27,4,3,0,0,0,0,1,1,1,2,1,0,0,0,0042300402
ACTIVE,9,1629052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300402
ACTIVE,10,1628436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300402
ACTIVE,11,1629004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300402
ACTIVE,12,1629674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300402
ACTIVE,13,1630531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300402
ACTIVE,14,1630214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300402
ACTIVE,15,1641775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PT00M00.00S,PT00M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300402
ACTIVE,1,1627884,1,1,1,2,1,0,7,4,0,2,2,0,3,3,67,PT32M07.09S,PT32M,62,-5,11,3,8,0,1,2,3,1,3,0,1,4,4,0042300402
ACTIVE,2,1629023,1,1,1,1,1,1,13,6,0,2,3,0,4,4,83,PT39M57.97S,PT40M,85,2,17,2,10,2,5,2,7,0,5,1,1,8,5,0042300402
ACTIVE,3,1629655,1,0,1,0,1,1,9,6,0,4,0,0,4,1,53,PT22M43.00S,PT23M,53,0,13,2,12,1,7,2,9,0,0,0,0,9,6,0042300402
ACTIVE,4,202681,1,1,1,6,0,1,18,7,0,1,4,0,2,2,94,PT41M26.99S,PT41M,91,-3,16,0,10,4,2,0,2,0,3,0,2,15,7,0042300402
ACTIVE,5,1629029,1,1,1,11,0,0,21,12,0,4,1,0,8,4,89,PT42M17.91S,PT42M,86,-3,32,0,10,4,11,0,11,4,9,4,8,12,8,0042300402
ACTIVE,6,1641726,0,0,1,0,0,1,3,1,1,1,1,0,0,0,44,PT19M01.00S,PT19M,29,-15,2,0,2,0,4,3,7,0,0,0,2,3,1,0042300402
ACTIVE,7,1628467,0,1,1,0,0,1,4,0,0,0,4,0,0,0,32,PT16M17.00S,PT16M,33,1,0,0,0,0,2,0,2,0,2,0,0,2,0,0042300402
ACTIVE,8,1630182,0,0,1,0,0,0,4,1,0,1,2,0,3,2,34,PT13M40.03S,PT14M,24,-10,4,0,2,2,1,0,1,0,3,0,0,1,1,0042300402
ACTIVE,9,1630702,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,PT01M59.01S,PT02M,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300402
